date,customer,dividend,shareholder_meeting,actual
20171106,210,0,0,2
20171107,261,0,0,6
20171108,192,1,0,10
20171109,269,2,0,9
20171110,552,0,0,60
20171111,23,0,0,0
20171112,186,0,0,0
20171113,204,0,0,204
20171114,331,1,0,1484
20171115,192,0,0,2
20171116,386,0,0,5
20171117,121,0,0,8
20171118,26,0,0,0
20171119,151,0,0,0
20171120,240,0,0,3
20171121,291,0,0,3
20171122,144,0,0,3
20171123,103,0,0,1
20171124,175,0,0,6
20171125,10,0,0,0
20171126,69,0,0,0
20171127,147,2,1,5
20171128,341,2,0,11
20171129,245,2,0,46
20171130,190,4,0,0
20171201,338,0,0,2
20171202,11,0,0,0
20171203,49,0,0,0
20171204,226,8,0,0
20171205,549,6,0,0
20171206,211,6,0,0
20171207,151,2,0,1
20171208,220,2,0,1
20171209,4,0,0,0
20171210,93,0,0,0
20171211,180,14,0,1
20171212,251,6,0,2
20171213,175,8,0,0
20171214,214,6,0,0
20171215,182,24,0,3
20171216,151,0,0,0
20171217,55,0,0,0
20171218,208,14,0,3
20171219,256,8,1,1
20171220,141,26,0,2
20171221,319,8,0,1
20171222,162,8,3,2
20171223,2,0,0,0
20171224,32,0,0,0
20171225,31,0,0,0
20171226,124,4,0,0
20171227,184,0,0,0
20171228,82,0,1,2
20171229,103,0,1,0
20171230,42,0,0,0
20171231,31,0,0,0
20180101,38,0,0,0
20180102,152,0,0,0
20180103,118,0,0,0
20180104,126,2,0,0
20180105,145,0,0,0
20180106,55,0,0,0
20180107,74,0,0,0
20180108,233,2,0,2
20180109,140,4,0,0
20180110,158,0,0,0
20180111,98,0,0,0
20180112,192,0,0,0
20180113,17,0,0,0
20180114,96,0,0,0
20180115,274,2,0,1
20180116,150,0,0,2
20180117,198,0,0,0
20180118,153,2,0,0
20180119,112,0,0,0
20180120,80,0,0,0
20180121,74,0,0,0
20180122,161,6,0,0
20180123,179,28,0,0
20180124,155,8,0,0
20180125,166,38,0,0
20180126,144,18,0,4
20180127,6,0,0,0
20180128,115,0,0,0
20180129,185,20,0,0
20180130,155,52,0,0
20180131,182,26,1,1
20180201,140,56,0,0
20180202,148,30,0,1
20180203,10,0,0,0
20180204,130,0,0,0
20180205,157,56,1,0
20180206,179,76,0,1
20180207,221,116,0,0
20180208,168,208,0,1
20180209,198,50,0,2
20180210,4,2,0,0
20180211,79,0,0,0
20180212,340,72,0,3
20180213,246,76,0,6
20180214,259,64,0,29
20180215,3,0,0,0
20180217,2,0,0,0
20180218,35,0,0,0
20180219,164,46,1,2
20180220,224,54,0,7
20180221,164,82,0,2
20180222,242,126,0,5
20180223,280,100,2,7
20180224,86,4,0,0
20180225,61,0,0,0
20180226,255,65,1,5
20180227,221,118,1,10
20180228,352,131,6,22
20180301,4,0,0,0
20180302,144,56,1,13
20180303,23,0,0,0
20180304,49,0,0,0
20180305,258,74,0,16
20180306,208,78,0,27
